year,country,2_letter_code,unit,Exports of goods and services,Imports of goods and services,trade_balance,coverage_ratio,total_trade,total_exports_yoy,total_imports_yoy,%_Export_UE,%_Import_UE,%_total_trade_UE
1997,Belgium,BE,CP_EUR,144495300000.0,135832200000.00002,8663099999.999985,1.0637779554479718,280327500000.0,0.07350039375343598,0.06430965165833902,0.06844947747901044,0.06434564387093865,0.13279512134994909
1998,Belgium,BE,CP_EUR,148252800000.0,139844900000.0,8407900000.0,1.0601230363066512,288097700000.0,0.02600430602241044,0.02954159617528096,0.06606795597091746,0.062321026624504595,0.12838898259542206
1999,Belgium,BE,CP_EUR,156441200000.0,146855200000.0,9586000000.0,1.0652751826288753,303296400000.0,0.055232683632282065,0.05012910731817888,0.06599246930629175,0.06194875313197123,0.12794122243826297
2000,Belgium,BE,CP_EUR,185994400000.0,178650100000.0,7344300000.0,1.041109968592237,364644500000.0,0.18890931544887146,0.21650510162391257,0.06631150202641217,0.06369308144852069,0.13000458347493285
2001,Belgium,BE,CP_EUR,189295400000.0,179654900000.0,9640500000.0,1.0536612138049115,368950300000.0,0.017747846171712656,0.005624402113404869,0.06449768371707038,0.06121292391902765,0.125710607636098
2002,Belgium,BE,CP_EUR,193550700000.0,178310000000.0,15240700000.0,1.0854730525489316,371860700000.0,0.022479679907699834,-0.007486019028704494,0.06476562374256684,0.059665805236235735,0.12443142897880256
2003,Belgium,BE,CP_EUR,194130800000.0,179065600000.0,15065200000.0,1.0841322956503092,373196400000.0,0.0029971475174204176,0.004237563793393573,0.06475654169135932,0.05973121726118818,0.12448775895254749
2004,Belgium,BE,CP_EUR,210463800000.0,195937000000.0,14526800000.0,1.0741401572954572,406400800000.0,0.08413399625407192,0.09421910182636983,0.06414028323186709,0.05971314152648741,0.1238534247583545
2005,Belgium,BE,CP_EUR,230304700000.0,217789700000.0,12515000000.0,1.0574636908907997,448094400000.0,0.09427226915032416,0.11152921602351773,0.06468148096055347,0.061166621149957655,0.12584810211051112
2006,Belgium,BE,CP_EUR,249732600000.0,236588400000.0,13144200000.0,1.0555572462555223,486321000000.0,0.08435737525113463,0.08631583587286262,0.06278063611233406,0.05947629684229987,0.12225693295463393
2007,Belgium,BE,CP_EUR,269059800000.0,254850600000.0,14209200000.0,1.0557550188227927,523910400000.0,0.0773915780318628,0.07718975232936187,0.062029210140669894,0.0587534125197291,0.12078262266039899
2008,Belgium,BE,CP_EUR,284492000000.0,282125500000.0,2366500000.0,1.0083881109648012,566617500000.0,0.05735602271316642,0.1070230950996387,0.06297093122526551,0.06244711787113045,0.12541804909639595
2009,Belgium,BE,CP_EUR,238532500000.0,231390900000.0,7141600000.0,1.0308637893711463,469923400000.0,-0.1615493581541836,-0.17982989839628105,0.062640959063395,0.06076550530658138,0.12340646436997638
2010,Belgium,BE,CP_EUR,275440500000.0,270013599999.99997,5426900000.0000305,1.0200986172548347,545454100000.0,0.15472943938457018,0.1669153799911749,0.06281950647959546,0.06158179750174318,0.12440130398133864
2011,Belgium,BE,CP_EUR,304024100000.0,304867900000.0,-843800000.0,0.9972322438669339,608892000000.0,0.10377413633797494,0.1290834980163964,0.06277270021071579,0.06294692193997278,0.12571962215068858
2012,Belgium,BE,CP_EUR,310537900000.0,311644900000.0,-1107000000.0,0.9964478802637232,622182800000.0,0.021425275167330504,0.0222292999689373,0.06154152596747326,0.0617609081080944,0.12330243407556765
2013,Belgium,BE,CP_EUR,311397300000.0,310413900000.0,983400000.0,1.003168028235849,621811200000.0,0.0027674560818502503,-0.003950008487223711,0.06064253130118462,0.06045102076052937,0.12109355206171399
2014,Belgium,BE,CP_EUR,321522800000.0,320626100000.0,896700000.0,1.0027967155512294,642148900000.0,0.03251633845251711,0.03289865563365568,0.06032714318790676,0.060158895868287134,0.12048603905619389
